599,Man City,Leeds,0,4,A,0,1,A,5,10,3,6,23,17,4,5,5,3,0,0
600,Middlesbrough,Derby,4,0,H,1,0,H,13,6,8,3,8,14,4,5,0,4,0,0
601,Newcastle,Coventry,3,1,H,1,0,H,11,12,6,5,6,9,2,7,0,3,0,0
602,Southampton,Charlton,0,0,D,0,0,D,17,10,6,4,8,12,9,3,0,0,0,0
603,West Ham,Sunderland,0,2,A,0,1,A,13,7,6,5,20,21,9,6,4,2,0,0
604,Ipswich,Leicester,2,0,H,0,0,D,22,6,9,3,14,10,8,1,1,1,0,0
605,Chelsea,Ipswich,4,1,H,1,1,D,23,5,10,2,11,12,11,1,3,0,0,1
606,Coventry,Everton,1,3,A,0,3,A,9,8,5,4,9,22,15,3,0,1,0,0
607,Derby,Man City,1,1,D,0,0,D,9,10,3,4,17,22,5,4,2,2,0,0
608,Leeds,Newcastle,1,3,A,1,2,A,12,11,5,7,12,18,16,1,2,1,0,0
609,Leicester,Arsenal,0,0,D,0,0,D,3,13,0,4,6,8,1,9,2,2,1,0
610,Liverpool,Middlesbrough,0,0,D,0,0,D,22,4,7,2,9,10,7,3,1,1,0,0
611,Man United,Aston Villa,2,0,H,0,0,D,12,5,7,3,10,19,7,3,1,2,0,0
612,Tottenham,Southampton,0,0,D,0,0,D,9,9,4,6,10,15,6,0,0,1,0,0
613,Sunderland,Bradford,0,0,D,0,0,D,14,7,6,3,10,13,8,7,0,1,0,0
614,Charlton,West Ham,1,1,D,1,0,H,9,18,3,3,11,8,0,5,0,1,0,0
615,Aston Villa,Leeds,1,2,A,1,1,D,12,7,4,3,11,10,5,3,2,0,0,0
616,Arsenal,Bradford,2,0,H,2,0,H,20,6,8,2,12,14,6,3,1,2,0,0
617,Charlton,Derby,2,1,H,1,1,D,13,6,9,3,13,14,9,3,2,1,0,0
618,Chelsea,Newcastle,3,1,H,1,1,D,14,4,4,2,12,19,7,2,1,3,0,0
619,Everton,Middlesbrough,2,2,D,0,1,A,17,6,8,3,17,12,9,1,1,5,0,0
620,Leeds,Coventry,1,0,H,0,0,D,11,3,6,1,18,19,9,2,4,5,0,0
621,Man City,Liverpool,1,1,D,0,1,A,4,16,2,3,17,13,5,11,1,1,0,0
622,Southampton,Leicester,1,0,H,0,0,D,10,6,5,3,14,12,3,3,0,3,0,0
623,Sunderland,Man United,0,1,A,0,0,D,9,13,2,7,15,13,3,2,2,0,2,1
624,West Ham,Tottenham,0,0,D,0,0,D,17,14,6,6,9,16,9,4,1,1,0,0
625,Bradford,Aston Villa,0,3,A,0,0,D,9,13,2,6,14,14,3,4,2,0,0,0
626,Coventry,Arsenal,0,1,A,0,0,D,12,8,4,6,13,14,3,7,3,4,0,0
627,Derby,Sunderland,1,0,H,1,0,H,9,17,3,5,16,18,3,4,7,3,0,0
628,Ipswich,Leeds,1,2,A,0,2,A,11,10,6,3,10,15,3,4,1,2,1,0
629,Leicester,Chelsea,2,1,H,1,0,H,10,8,5,4,7,13,2,7,0,1,0,0
630,Liverpool,West Ham,3,0,H,2,0,H,14,8,10,3,9,6,5,3,0,1,0,1
631,Man United,Everton,1,0,H,0,0,D,8,5,1,1,8,11,2,5,0,2,0,0
632,Middlesbrough,Man City,1,1,D,0,1,A,14,6,6,3,12,14,4,2,0,2,1,0
633,Tottenham,Charlton,0,0,D,0,0,D,9,7,3,2,17,14,2,3,2,0,0,0
634,Everton,Leeds,2,2,D,1,0,H,7,9,4,5,18,18,4,7,2,1,0,0
635,Arsenal,Ipswich,1,0,H,0,0,D,17,5,10,3,16,15,11,3,2,1,0,0
636,Aston Villa,Middlesbrough,1,1,D,1,0,H,15,6,4,3,11,11,7,4,1,1,0,0
637,Chelsea,Man United,1,1,D,1,0,H,8,16,4,6,16,12,3,8,0,2,0,0
638,Everton,Leicester,2,1,H,2,0,H,9,9,6,2,12,7,7,2,3,2,0,0
639,Leeds,Derby,0,0,D,0,0,D,12,3,6,2,11,17,17,4,2,5,0,0
640,Man City,Tottenham,0,1,A,0,0,D,11,11,4,4,17,10,7,3,1,0,0,0
641,Southampton,Bradford,2,0,H,0,0,D,12,4,6,1,9,16,8,0,0,1,0,0
642,Sunderland,Liverpool,1,1,D,0,0,D,9,8,6,4,15,25,9,6,5,3,0,0
643,Charlton,Newcastle,2,0,H,2,0,H,11,5,4,3,10,12,4,11,2,1,0,0
644,West Ham,Coventry,1,1,D,0,0,D,21,13,9,4,13,16,5,4,2,5,0,0
645,Bradford,West Ham,1,2,A,0,1,A,15,11,5,5,9,10,7,1,1,2,0,0
646,Coventry,Charlton,2,2,D,1,1,D,17,15,7,7,15,11,3,7,0,0,0,0
647,Derby,Aston Villa,1,0,H,1,0,H,9,19,5,7,9,10,1,9,1,1,0,0
648,Ipswich,Everton,2,0,H,0,0,D,12,8,6,2,11,14,3,2,1,2,0,1
649,Leicester,Sunderland,2,0,H,1,0,H,11,9,7,3,13,16,6,5,0,4,0,1
650,Middlesbrough,Southampton,0,1,A,0,0,D,11,10,6,5,9,9,3,6,1,0,0,0
651,Newcastle,Man City,0,1,A,0,0,D,10,11,3,3,18,11,5,5,1,0,0,0
652,Tottenham,Leeds,1,2,A,1,1,D,13,15,4,9,16,14,5,12,2,1,0,0
653,Man United,Arsenal,6,1,H,5,1,H,16,6,9,2,10,6,3,3,0,0,0,0
654,Arsenal,West Ham,3,0,H,3,0,H,16,4,6,2,19,12,5,6,2,3,0,0
655,Coventry,Chelsea,0,0,D,0,0,D,17,24,10,11,13,15,5,8,2,2,0,0
656,Derby,Tottenham,2,1,H,2,0,H,8,13,4,7,20,12,6,7,2,3,0,0
657,Everton,Newcastle,1,1,D,0,0,D,16,4,6,2,13,12,4,1,1,2,0,0
658,Leeds,Man United,1,1,D,0,0,D,18,5,10,5,25,21,14,3,3,5,0,0
659,Leicester,Liverpool,2,0,H,0,0,D,9,8,7,3,9,7,4,7,1,1,0,0
660,Man City,Southampton,0,1,A,0,0,D,15,6,7,1,15,15,5,6,1,1,0,0
661,Middlesbrough,Charlton,0,0,D,0,0,D,8,11,2,8,13,12,4,5,1,1,0,0
662,Ipswich,Bradford,3,1,H,0,1,A,21,7,8,5,13,14,7,2,0,4,0,0
663,Sunderland,Aston Villa,1,1,D,0,0,D,18,6,12,2,17,18,5,3,1,2,0,0
664,West Ham,Chelsea,0,2,A,0,2,A,7,17,2,6,12,9,1,0,2,2,0,0
665,Aston Villa,Ipswich,2,1,H,0,1,A,9,8,5,3,15,11,6,2,1,1,0,0
666,Bradford,Man City,2,2,D,0,1,A,16,10,7,3,13,12,3,3,2,1,0,0
667,Charlton,Leeds,1,2,A,1,1,D,7,7,3,5,19,13,2,5,3,5,0,0
668,Chelsea,Sunderland,2,4,A,2,1,H,14,11,6,7,15,26,4,5,0,0,0,0
669,Man United,Leicester,2,0,H,0,0,D,19,5,8,2,11,13,14,2,1,1,0,0
670,Newcastle,Middlesbrough,1,2,A,0,2,A,16,7,5,4,14,19,5,1,0,3,0,1
671,Southampton,Everton,1,0,H,0,0,D,17,5,5,1,13,18,6,6,1,1,0,0
672,Tottenham,Coventry,3,0,H,2,0,H,12,11,4,5,13,10,5,8,0,1,0,0
673,West Ham,Ipswich,0,1,A,0,0,D,5,13,2,5,14,8,4,5,0,0,0,0
674,Aston Villa,Arsenal,0,0,D,0,0,D,4,14,2,5,16,13,3,3,2,2,0,1
675,Liverpool,Derby,1,1,D,0,1,A,18,7,8,4,11,9,9,3,2,2,0,0
676,Arsenal,Tottenham,2,0,H,0,0,D,25,4,19,3,5,6,12,2,0,1,0,0
677,Bradford,Newcastle,2,2,D,2,1,H,22,14,8,7,17,23,10,8,0,1,0,0
678,Chelsea,Middlesbrough,2,1,H,1,0,H,17,7,5,3,19,10,4,3,2,1,0,0
679,Coventry,Derby,2,0,H,1,0,H,12,14,7,8,12,16,9,4,0,1,1,0
680,Liverpool,Man United,2,0,H,2,0,H,15,9,6,3,8,8,6,4,1,1,1,0
681,Man City,Aston Villa,1,3,A,1,2,A,12,8,6,7,18,13,9,2,6,4,1,0
682,Sunderland,Leeds,0,2,A,0,1,A,14,7,8,4,17,10,8,4,2,2,0,1
683,West Ham,Everton,0,2,A,0,1,A,17,10,6,7,16,16,8,2,3,2,1,0
684,Charlton,Leicester,2,0,H,1,0,H,16,5,9,1,12,9,6,2,2,2,0,0
685,Southampton,Ipswich,0,3,A,0,1,A,11,11,3,5,17,15,6,7,2,1,0,0
686,Aston Villa,Leicester,2,1,H,1,1,D,9,6,5,2,11,12,10,3,2,2,0,0
687,Aston Villa,West Ham,2,2,D,0,0,D,6,7,4,5,5,3,5,3,1,3,0,0
688,Derby,Chelsea,0,4,A,0,0,D,3,10,2,7,13,7,1,9,1,1,0,0
689,Leeds,Southampton,2,0,H,1,0,H,15,6,7,2,10,11,10,1,0,0,0,0
690,Leicester,Coventry,1,3,A,1,2,A,9,15,4,5,9,19,4,9,3,2,0,0
691,Everton,Man City,3,1,H,2,1,H,11,13,7,5,17,18,8,8,0,3,1,1
692,Middlesbrough,Sunderland,0,0,D,0,0,D,12,12,6,4,22,22,3,2,5,3,1,0
693,Ipswich,Liverpool,1,1,D,0,0,D,8,7,5,2,10,15,6,1,0,0,0,0
694,Man United,Charlton,2,1,H,1,0,H,23,3,8,2,8,9,12,4,1,1,0,0
695,Tottenham,Bradford,2,1,H,1,1,D,17,10,13,5,13,9,5,7,1,1,0,0
696,Man City,Arsenal,0,4,A,0,4,A,7,15,2,8,10,8,7,3,2,0,0,0
697,Bradford,Charlton,2,0,H,0,0,D,4,3,8,8,13,21,3,7,1,3,0,0
698,Liverpool,Leeds,1,2,A,0,2,A,11,9,5,3,19,16,8,2,3,1,1,0
699,Arsenal,Middlesbrough,0,3,A,0,2,A,17,6,8,2,13,11,9,0,1,1,0,0
700,Aston Villa,Everton,2,1,H,1,1,D,8,5,5,3,13,14,5,3,0,3,0,0
701,Chelsea,Southampton,1,0,H,1,0,H,14,9,8,5,11,19,7,6,3,3,0,0
702,Ipswich,Newcastle,1,0,H,0,0,D,14,6,5,2,6,13,9,3,0,1,0,1
703,Leicester,Man City,1,2,A,1,1,D,15,8,9,3,13,26,5,1,2,3,0,0
704,Man United,Coventry,4,2,H,2,2,D,28,9,13,4,9,18,9,2,1,4,0,0
705,Sunderland,Tottenham,2,3,A,2,0,H,13,8,4,6,12,15,3,3,1,2,0,0
706,West Ham,Derby,3,1,H,3,0,H,18,6,10,3,10,18,3,5,0,2,0,0
707,Coventry,Sunderland,1,0,H,1,0,H,14,6,9,3,15,21,6,3,3,0,0,0
708,Derby,Leicester,2,0,H,1,0,H,10,7,6,4,17,16,5,6,0,0,0,0
709,Everton,Liverpool,2,3,A,1,1,D,10,10,7,6,19,15,2,5,4,2,1,0
710,Middlesbrough,Ipswich,1,2,A,1,0,H,4,12,1,5,8,8,5,4,0,0,0,0
711,Newcastle,West Ham,2,1,H,1,0,H,20,13,14,6,19,9,7,5,0,0,0,0
