,HomeTeam,AwayTeam,FTR,HST,AST,HC,AC,HAS,HDS,AAS,ADS
0,Charlton,Man City,H,14,4,6,6,1.0562180579216354,0.9382716049382716,1.037037037037037,1.1584327086882453
1,Chelsea,West Ham,H,10,5,7,7,1.4991482112436116,0.9876543209876542,1.037037037037037,1.0221465076660987
2,Coventry,Middlesbrough,A,3,9,8,4,0.47700170357751276,1.1358024691358024,1.2839506172839505,0.7155025553662692
3,Derby,Southampton,D,4,6,5,8,0.7836456558773424,1.1851851851851851,0.6419753086419753,0.8858603066439523
4,Leeds,Everton,H,8,6,6,4,1.2265758091993184,1.037037037037037,0.7901234567901233,1.090289608177172
5,Leicester,Aston Villa,D,4,3,5,4,0.9540034071550255,1.1358024691358024,0.9382716049382716,0.7836456558773424
6,Liverpool,Bradford,H,10,2,6,1,1.362862010221465,0.6913580246913579,0.4938271604938271,1.3969335604770017
7,Sunderland,Arsenal,H,2,7,2,9,0.817717206132879,0.7901234567901233,0.8888888888888887,0.8517887563884157
8,Tottenham,Ipswich,H,6,5,3,4,1.0562180579216354,0.7901234567901233,1.2839506172839505,0.9199318568994889
9,Man United,Newcastle,H,9,6,7,1,1.6695059625212947,0.5925925925925926,0.8888888888888887,1.1243611584327087
10,Arsenal,Liverpool,H,12,4,10,11,1.533219761499148,0.6419753086419753,1.5308641975308641,0.8517887563884157
11,Bradford,Chelsea,H,3,6,6,4,0.6814310051107325,1.4320987654320987,1.1851851851851851,0.8517887563884157
12,Ipswich,Man United,D,8,6,4,6,1.0562180579216354,0.7407407407407407,1.4814814814814814,0.6473594548551959
13,Middlesbrough,Tottenham,D,6,4,5,5,0.6132879045996592,1.1358024691358024,0.7901234567901233,1.2947189097103917
14,Everton,Charlton,H,8,4,3,5,0.9880749574105622,1.3333333333333333,0.9382716049382716,1.2947189097103917
15,Man City,Sunderland,H,10,4,7,3,0.6814310051107325,1.5308641975308641,1.0864197530864197,0.8517887563884157
16,Newcastle,Derby,H,4,5,9,6,0.8858603066439523,0.8395061728395061,0.6913580246913579,1.192504258943782
17,Southampton,Coventry,A,4,5,6,5,0.9199318568994889,1.0864197530864197,1.0864197530864197,1.362862010221465
18,West Ham,Leicester,A,12,2,11,5,0.817717206132879,0.9876543209876542,0.5432098765432098,0.9540034071550255
19,Arsenal,Charlton,H,9,4,8,3,1.533219761499148,0.6419753086419753,0.9382716049382716,1.2947189097103917
20,Bradford,Leicester,D,4,8,6,8,0.6814310051107325,1.4320987654320987,0.5432098765432098,0.9540034071550255
21,Everton,Derby,D,9,4,11,2,0.9880749574105622,1.3333333333333333,0.6913580246913579,1.192504258943782
22,Ipswich,Sunderland,H,5,3,7,6,1.0562180579216354,0.7407407407407407,1.0864197530864197,0.8517887563884157
23,Man City,Coventry,A,5,8,5,5,0.6814310051107325,1.5308641975308641,1.0864197530864197,1.362862010221465
24,Middlesbrough,Leeds,A,8,11,4,8,0.6132879045996592,1.1358024691358024,1.3827160493827158,0.7495741056218058
25,Newcastle,Tottenham,H,6,2,4,2,0.8858603066439523,0.8395061728395061,0.7901234567901233,1.2947189097103917
26,Southampton,Liverpool,D,7,4,7,1,0.9199318568994889,1.0864197530864197,1.5308641975308641,0.8517887563884157
27,West Ham,Man United,D,8,5,7,5,0.817717206132879,0.9876543209876542,1.4814814814814814,0.6473594548551959
28,Aston Villa,Chelsea,D,9,7,7,10,0.9199318568994889,0.9876543209876542,1.1851851851851851,0.8517887563884157
29,Leeds,Man City,A,1,3,9,4,1.2265758091993184,1.037037037037037,1.037037037037037,1.1584327086882453
30,Man United,Bradford,H,12,4,5,1,1.6695059625212947,0.5925925925925926,0.4938271604938271,1.3969335604770017
31,Sunderland,West Ham,D,7,9,4,11,0.817717206132879,0.7901234567901233,1.037037037037037,1.0221465076660987
32,Tottenham,Everton,H,7,6,7,5,1.0562180579216354,0.7901234567901233,0.7901234567901233,1.090289608177172
33,Charlton,Southampton,D,6,3,10,14,1.0562180579216354,0.9382716049382716,0.6419753086419753,0.8858603066439523
34,Chelsea,Arsenal,D,5,5,7,6,1.4991482112436116,0.9876543209876542,0.8888888888888887,0.8517887563884157
35,Coventry,Newcastle,A,3,6,6,8,0.47700170357751276,1.1358024691358024,0.8888888888888887,1.1243611584327087
36,Derby,Middlesbrough,D,5,4,11,5,0.7836456558773424,1.1851851851851851,1.2839506172839505,0.7155025553662692
37,Leicester,Ipswich,H,6,3,6,2,0.9540034071550255,1.1358024691358024,1.2839506172839505,0.9199318568994889
38,Liverpool,Aston Villa,H,7,4,8,7,1.362862010221465,0.6913580246913579,0.9382716049382716,0.7836456558773424
39,Bradford,Arsenal,D,5,11,4,10,0.6814310051107325,1.4320987654320987,0.8888888888888887,0.8517887563884157
40,Coventry,Leeds,D,1,5,6,6,0.47700170357751276,1.1358024691358024,1.3827160493827158,0.7495741056218058
41,Ipswich,Aston Villa,A,5,2,5,3,1.0562180579216354,0.7407407407407407,0.9382716049382716,0.7836456558773424
42,Leicester,Southampton,H,6,5,10,6,0.9540034071550255,1.1358024691358024,0.6419753086419753,0.8858603066439523
43,Liverpool,Man City,H,8,7,9,4,1.362862010221465,0.6913580246913579,1.037037037037037,1.1584327086882453
44,Man United,Sunderland,H,7,1,4,4,1.6695059625212947,0.5925925925925926,1.0864197530864197,0.8517887563884157
45,Middlesbrough,Everton,A,5,9,7,7,0.6132879045996592,1.1358024691358024,0.7901234567901233,1.090289608177172
46,Newcastle,Chelsea,D,4,3,5,6,0.8858603066439523,0.8395061728395061,1.1851851851851851,0.8517887563884157
47,Derby,Charlton,D,6,6,4,11,0.7836456558773424,1.1851851851851851,0.9382716049382716,1.2947189097103917
48,Tottenham,West Ham,H,7,5,11,3,1.0562180579216354,0.7901234567901233,1.037037037037037,1.0221465076660987
49,Arsenal,Coventry,H,13,2,8,4,1.533219761499148,0.6419753086419753,1.0864197530864197,1.362862010221465
50,Aston Villa,Bradford,H,7,4,5,6,0.9199318568994889,0.9876543209876542,0.4938271604938271,1.3969335604770017
51,Charlton,Tottenham,H,5,5,7,5,1.0562180579216354,0.9382716049382716,0.7901234567901233,1.2947189097103917
52,Everton,Man United,A,4,9,6,5,0.9880749574105622,1.3333333333333333,1.4814814814814814,0.6473594548551959
53,Leeds,Ipswich,A,6,7,6,3,1.2265758091993184,1.037037037037037,1.2839506172839505,0.9199318568994889
54,Southampton,Newcastle,H,9,7,4,8,0.9199318568994889,1.0864197530864197,0.8888888888888887,1.1243611584327087
55,Sunderland,Derby,H,8,5,4,5,0.817717206132879,0.7901234567901233,0.6913580246913579,1.192504258943782
56,Chelsea,Leicester,A,10,5,15,3,1.4991482112436116,0.9876543209876542,0.5432098765432098,0.9540034071550255
57,Man City,Middlesbrough,D,4,2,9,3,0.6814310051107325,1.5308641975308641,1.2839506172839505,0.7155025553662692
58,West Ham,Liverpool,D,4,2,9,0,0.817717206132879,0.9876543209876542,1.5308641975308641,0.8517887563884157
59,Bradford,Southampton,A,6,4,7,5,0.6814310051107325,1.4320987654320987,0.6419753086419753,0.8858603066439523
60,Coventry,West Ham,A,2,10,5,6,0.47700170357751276,1.1358024691358024,1.037037037037037,1.0221465076660987
61,Derby,Leeds,D,7,6,7,4,0.7836456558773424,1.1851851851851851,1.3827160493827158,0.7495741056218058
62,Ipswich,Arsenal,D,6,4,4,7,1.0562180579216354,0.7407407407407407,0.8888888888888887,0.8517887563884157
63,Liverpool,Sunderland,D,6,3,12,3,1.362862010221465,0.6913580246913579,1.0864197530864197,0.8517887563884157
64,Man United,Chelsea,D,5,5,8,4,1.6695059625212947,0.5925925925925926,1.1851851851851851,0.8517887563884157
65,Middlesbrough,Aston Villa,D,5,7,5,5,0.6132879045996592,1.1358024691358024,0.9382716049382716,0.7836456558773424
66,Newcastle,Charlton,A,5,2,4,7,0.8858603066439523,0.8395061728395061,0.9382716049382716,1.2947189097103917
67,Tottenham,Man City,D,5,2,5,4,1.0562180579216354,0.7901234567901233,1.037037037037037,1.1584327086882453
68,Leicester,Everton,D,4,3,9,3,0.9540034071550255,1.1358024691358024,0.7901234567901233,1.090289608177172
69,Aston Villa,Derby,H,7,6,6,6,0.9199318568994889,0.9876543209876542,0.6913580246913579,1.192504258943782
70,Charlton,Coventry,D,8,6,6,6,1.0562180579216354,0.9382716049382716,1.0864197530864197,1.362862010221465
71,Everton,Ipswich,A,3,7,4,1,0.9880749574105622,1.3333333333333333,1.2839506172839505,0.9199318568994889
72,Leeds,Tottenham,H,7,5,6,4,1.2265758091993184,1.037037037037037,0.7901234567901233,1.2947189097103917
73,Man City,Newcastle,A,7,9,10,8,0.6814310051107325,1.5308641975308641,0.8888888888888887,1.1243611584327087
74,Southampton,Middlesbrough,A,8,5,6,6,0.9199318568994889,1.0864197530864197,1.2839506172839505,0.7155025553662692
75,West Ham,Bradford,D,6,6,7,2,0.817717206132879,0.9876543209876542,0.4938271604938271,1.3969335604770017
76,Arsenal,Man United,H,5,4,3,11,1.533219761499148,0.6419753086419753,1.4814814814814814,0.6473594548551959
77,Chelsea,Liverpool,H,5,2,3,1,1.4991482112436116,0.9876543209876542,1.5308641975308641,0.8517887563884157
